TRAPPIST-1,23:06:29.36,-05:02:29.2
Kepler-53 b,19:21:50.826,+40:33:44.8
Kepler-53 c,19:21:50.826,+40:33:44.8
Kepler-53 d,+19:21:50.83,+40:33:44.86
Kepler-425 b,19:21:25.923,+40:34:03.8
Kepler-428 b,19:22:19.613,+40:34:38.
Kepler-49 b,19:29:10.701,+40:35:30.4
Kepler-49 c,19:29:10.701,+40:35:30.4
Kepler-49 d,+19:29:10.72,+40:35:30.44
Kepler-49 e,+19:29:10.72,+40:35:30.44
Kepler-306 b,+19:14:09.28,+40:36:58.14
Kepler-306 c,+19:14:09.28,+40:36:58.14
Kepler-306 d,+19:14:09.28,+40:36:58.14
Kepler-306 e,+19:14:09.28,+40:36:58.14
Kepler-238 c,+19:11:35.30,+40:38:16.15
Kepler-238 d,+19:11:35.30,+40:38:16.15
Kepler-238 b,19:11:35.30,+40:38:16.16
Kepler-239 b,+19:36:48.53,+40:39:48.28
Kepler-239 c,+19:36:48.53,+40:39:48.28
Kepler-399 b,+19:58:00.41,+40:40:14.88
Kepler-399 c,+19:58:00.41,+40:40:14.88
Kepler-399 d,+19:58:00.41,+40:40:14.88
Kepler-240 b,+19:24:38.09,+40:45:00.97
Kepler-240 c,+19:24:38.09,+40:45:00.97
Kepler-338 b,+18:51:54.94,+40:47:03.66
Kepler-338 c,+18:51:54.94,+40:47:03.66
Kepler-338 d,+18:51:54.94,+40:47:03.66
HD 49674 b,+06:51:30.49,+40:52:05.00
Kepler-159 b,+19:48:16.85,+40:52:07.64
Kepler-159 c,+19:48:16.85,+40:52:07.64
Kepler-333 b,+19:29:08.66,+40:54:48.92
Kepler-333 c,+19:29:08.66,+40:54:48.92
Kepler-370 b,+19:28:41.09,+40:54:58.72
Kepler-370 c,+19:28:41.09,+40:54:58.72
Kepler-169 b,+19:03:59.98,+40:55:09.55
Kepler-169 c,+19:03:59.98,+40:55:09.55
Kepler-169 d,+19:03:59.98,+40:55:09.55
Kepler-169 e,+19:03:59.98,+40:55:09.55
Kepler-169 f,+19:03:59.98,+40:55:09.55
Kepler-131 b,19:14:07.402,+40:56:32.2
Kepler-131 c,19:14:07.402,+40:56:32.2
Kepler-48 b,19:56:33.411,+40:56:56.4
Kepler-48 c,19:56:33.411,+40:56:56.4
Kepler-48 d,19:56:33.411,+40:56:56.4
Kepler-433 b,19:50:22.473,+40:58:38.
Kepler-448 b,19:49:48.892,+41:00:39.
Kepler-151 b,+19:28:39.07,+41:01:23.66
Kepler-151 c,+19:28:39.07,+41:01:23.66
HAT-P-21 b,11:25:05.988,+41:01:40.6
HAT-P-2 b,+16:20:36.37,+41:02:53.36
Kepler-241 b,+19:31:39.14,+41:03:39.31
Kepler-241 c,+19:31:39.14,+41:03:39.31
Kepler-45 b,19:31:29.495,+41:03:51.3
Kepler-27 b,19:28:56.825,+41:05:09.1
Kepler-27 c,19:28:56.825,+41:05:09.1
Kepler-7 b,19:14:19.564,+41:05:23.3
HD 43691 b,+06:19:34.66,+41:05:32.77
Kepler-390 b,+19:26:30.91,+41:12:30.96
Kepler-390 c,+19:26:30.91,+41:12:30.96
HD 89744 b,+10:22:10.66,+41:13:47.52
Kepler-200 b,+18:57:38.38,+41:14:14.86
Kepler-200 c,+18:57:38.38,+41:14:14.86
